pk_cnae;cnae_principal
1;Empresa sem CNAE Principal
11804;EXTRACAO DE AREIA, CASCALHO OU PEDREGULHO E BENEFICIAMENTO ASSOCIADO
11802;ATIVIDADES DE APOIO A EXTRACAO DE MINERIO DE FERRO
11799;FABRICACAO DE AGUAS ENVASADAS
11797;ATIVIDADES VETERINARIAS
11795;CASAS DE BINGO
11793;FABRICACAO DE BIOCOMBUSTIVEIS, EXCETO ALCOOL
11791;COMERCIO VAREJISTA DE COMBUSTIVEIS PARA VEICULOS AUTOMOTORES
11789;SERVICOS DE ASSISTENCIA SOCIAL SEM ALOJAMENTO
11787;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE
11784;TRANSPORTE POR NAVEGACAO DE TRAVESSIA, MUNICIPAL
11782;FABRICACAO DE OUTROS EQUIPAMENTOS E APARELHOS ELETRICOS NAO ESPECIFICADOS ANTERIORMENTE
11780;COMERCIO ATACADISTA DE EQUIPAMENTOS ELETRICOS DE USO PESSOAL E DOMESTICO
11778;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES
11775;EXTRACAO DE PETROLEO E GAS NATURAL
11773;ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUICOES EXTRATERRITORIAIS
11768;ATIVIDADES DE TELEVISAO ABERTA
11766;ATIVIDADES DE RADIO
11764;COMERCIO ATACADISTA DE PESCADOS E FRUTOS DO MAR
11761;PEIXARIA
11757;CRIACAO DE PEIXES EM AGUA DOCE
11754;ATIVIDADES RELACIONADAS A ESGOTO, EXCETO A GESTAO DE REDES
11752;ATIVIDADES DE JARDINS BOTANICOS, ZOOLOGICOS, PARQUES NACIONAIS, RESERVAS ECOLOGICAS E AREAS DE PROTECAO AMBIENTAL
11750;ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE
11748;PESQUISA E DESENVOLVIMENTO EXPERIMENTAL EM CIENCIAS SOCIAIS E HUMANAS
11746;ATIVIDADES DE APOIO A EDUCACAO, EXCETO CAIXAS ESCOLARES
11744;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS
11742;ATIVIDADE MEDICA AMBULATORIAL RESTRITA A CONSULTAS
11740;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE
11737;ATIVIDADES DE ASSISTENCIA PSICOSSOCIAL E A SAUDE A PORTADORES DE DISTURBIOS PSIQUICOS, DEFICIENCIA MENTAL E DEPENDENCIA QUIMICA NAO ESPECIFICADAS ANTERIORMENTE
11734;CLINICAS E RESIDENCIAS GERIATRICAS
11731;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE
11726;ATIVIDADES DE FORNECIMENTO DE INFRAESTRUTURA DE APOIO E ASSISTENCIA A PACIENTE NO DOMICILIO
11724;INSTITUICOES DE LONGA PERMANENCIA PARA IDOSOS
11722;ATIVIDADES DE APOIO A EXTRACAO DE PETROLEO E GAS NATURAL
11720;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES
11717;PRODUCAO DE LAMINADOS PLANOS DE ACO AO CARBONO, REVESTIDOS OU NAO
11715;FUNDICAO DE FERRO E ACO
11713;PRODUCAO DE FERROGUSA
11711;FUNDICAO DE METAIS NAOFERROSOS E SUAS LIGAS
11706;RECONDICIONAMENTO E RECUPERACAO DE MOTORES PARA VEICULOS AUTOMOTORES
11704;COMERCIO A VAREJO DE AUTOMOVEIS, CAMIONETAS E UTILITARIOS NOVOS
11702;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES
11698;FABRICACAO DE BANCOS E ESTOFADOS PARA VEICULOS AUTOMOTORES
11696;FABRICACAO DE CABINES, CARROCERIAS E REBOQUES PARA OUTROS VEICULOS AUTOMOTORES, EXCETO CAMINHOES E ONIBUS
11693;COMERCIO A VAREJO DE MOTOCICLETAS E MOTONETAS USADAS
11691;FABRICACAO DE CABINES, CARROCERIAS E REBOQUES PARA CAMINHOES
11689;FABRICACAO DE OUTRAS PECAS E ACESSORIOS PARA VEICULOS AUTOMOTORES NAO ESPECIFICADAS ANTERIORMENTE
11687;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE
11685;PROVEDORES DE ACESSO AS REDES DE COMUNICACOES
11682;DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR SOB ENCOMENDA
11680;OUTRAS ATIVIDADES DE TELECOMUNICACOES NAO ESPECIFICADAS ANTERIORMENTE
11678;SERVICO MOVEL ESPECIALIZADO  SME
11667;REGULACAO DAS ATIVIDADES ECONOMICAS
11658;REGULACAO DAS ATIVIDADES DE SAUDE, EDUCACAO, SERVICOS CULTURAIS E OUTROS SERVICOS SOCIAIS
11655;SEGURANCA E ORDEM PUBLICA
11653;SEGURIDADE SOCIAL OBRIGATORIA
11651;ATIVIDADE MEDICA AMBULATORIAL RESTRITA A CONSULTAS
11649;DEFESA
11644;ADMINISTRACAO PUBLICA EM GERAL
11641;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES
11639;FABRICACAO DE MAQUINAS E EQUIPAMENTOS PARA SANEAMENTO BASICO E AMBIENTAL, PECAS E ACESSORIOS
11637;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE
11635;FABRICACAO DE CABINES, CARROCERIAS E REBOQUES PARA OUTROS VEICULOS AUTOMOTORES, EXCETO CAMINHOES E ONIBUS
11633;COMERCIO ATACADISTA DE MAQUINAS E EQUIPAMENTOS PARA USO INDUSTRIAL, PARTES E PECAS
11631;FABRICACAO DE VALVULAS, REGISTROS E DISPOSITIVOS SEMELHANTES, PECAS E ACESSORIOS
11628;FABRICACAO DE EQUIPAMENTOS PARA IRRIGACAO AGRICOLA, PECAS E ACESSORIOS
11626;FABRICACAO DE MAQUINAS E EQUIPAMENTOS PARA A AGRICULTURA E PECUARIA, PECAS E ACESSORIOS, EXCETO PARA IRRIGACAO
11624;FABRICACAO DE OUTRAS MAQUINAS E EQUIPAMENTOS DE USO GERAL NAO ESPECIFICADOS ANTERIORMENTE, PECAS E ACESSORIOS
11602;AGENCIAS DE VIAGENS
11600;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA
11598;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA
11595;COMERCIO ATACADISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS, EXCETO PROFISSIONAIS E DE SEGURANCA
11593;ALUGUEL DE OUTRAS MAQUINAS E EQUIPAMENTOS COMERCIAIS E INDUSTRIAIS NAO ESPECIFICADOS ANTERIORMENTE, SEM OPERADOR
11590;FABRICACAO DE EMBALAGENS DE MATERIAL PLASTICO
11588;FABRICACAO DE ARTEFATOS DE MATERIAL PLASTICO PARA USOS INDUSTRIAIS
11585;FABRICACAO DE ARTEFATOS DE MATERIAL PLASTICO PARA OUTROS USOS NAO ESPECIFICADOS ANTERIORMENTE
11581;FABRICACAO DE ARTEFATOS DE MATERIAL PLASTICO PARA USO PESSOAL E DOMESTICO
11579;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS
11576;FABRICACAO DE LAMINADOS PLANOS E TUBULARES DE MATERIAL PLASTICO
11574;FABRICACAO DE ARTEFATOS DE MATERIAL PLASTICO PARA OUTROS USOS NAO ESPECIFICADOS ANTERIORMENTE
11572;COMERCIO ATACADISTA DE OUTROS EQUIPAMENTOS E ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE
11570;ATIVIDADES RELACIONADAS A ESGOTO, EXCETO A GESTAO DE REDES
11566;DISTRIBUICAO DE AGUA POR CAMINHOES
11563;HIGIENE E EMBELEZAMENTO DE ANIMAIS DOMESTICOS
11559;ATIVIDADES DE MONITORAMENTO DE SISTEMAS DE SEGURANCA ELETRONICO
