pk_localidade;cd_cep;nm_logradouro;nu_logradouro;nm_bairro;nm_municipio;sg_uf;vl_latitude;vl_longitude
2;39850000;RUA FIDELANDIA;203;CENTRO;ATALEIA;MG;-18,1466704;-41,1602597
3;09772040;RUA THALES SANTOS FREIRE;923;BAETA NEVES;SAO BERNARDO DO CAMPO;SP;-23,6849417;-46,5451838
4;89260160;RUA JOAO FRANSNER PIONEIRO;450;CENTRO;JARAGUA DO SUL;SC;-26,4822209;-49,073477
5;17300000;RUA 13 DE MAIO;626;CENTRO;DOIS CORREGOS;SP;-22,3677944;-48,3836951
6;01208000;RUA DOS ANDRADAS;241;SANTA EFIGENIA;SAO PAULO;SP;-23,5381139;-46,6382136
7;17860000;ESTRADA MUNICIPAL PACAEMBU MIRANDOPOL;SN;;PACAEMBU;SP;-21,5587453;-51,2621469
8;37701004;RUA MINAS GERAIS;652;CENTRO;POCOS DE CALDAS;MG;-21,7849252;-46,5674715
9;16010340;RUA SILVA JARDIM;1;CENTRO;ARACATUBA;SP;-21,2076121;-50,4369317
10;02243010;RUA PAULO DE AVELAR;1175;VILA DOM PEDRO II;SAO PAULO;SP;-23,4915703;-46,5992602
11;85525000;RODOVIA PRT 280;SN;MARIOPOLIS;MARIOPOLIS;PR;-26,3569408;-52,5541594
12;98280000;LHA FAXINAL;SN;INTERIOR;PANAMBI;RS;-28,2866506;-53,4989324
13;04001100;RUA DOS BOMBEIROS;120;PARAISO;SAO PAULO;SP;-23,5733408;-46,6546172
14;35600000;RUA DO ROSARIO;1224;SAO JOSE;BOM DESPACHO;MG;-19,75094;-45,2592979
15;02185030;AVENIDA JOSE MARIA FERNANDES;1157;PARQUE NOVO MUNDO;SAO PAULO;SP;-23,5058079;-46,5678537
16;08210040;RUA MARCONI;23;CENTRO;SAO PAULO;SP;-23,546201;-46,6411971
17;25075090;RUA ASSUNCAO;366;JARDIM VINTE E CINCO DE AGOSTO;DUQUE DE CAXIAS;RJ;-22,7869796;-43,3046776
18;62700000;RUA MOZART PINTO;336;CENTRO;CANINDE;CE;-4,3585018;-39,315496
19;13405190;AVENIDA DONA MARIA ELISA;500;VILA REZENDE;PIRACICABA;SP;-22,7157471;-47,6556207
20;25635240;RUA CARMEM PONTE MARCOLINO;815;ALTO DA SERRA;PETROPOLIS;RJ;-22,5302882;-43,1789466
21;32341470;RUA DEZOITO DE DEZEMBRO;137;NOVO ELDORADO;CONTAGEM;MG;-19,9298665;-44,0586907
22;04703030;RUA PEDRO NOEL;104;JARDIM DAS ACACIAS;SAO PAULO;SP;-23,6213276;-46,6928432
23;74000000;AVENIDA ANHANGUERA;4720;CENTRO;GOIANIA;GO;-16,6731368;-49,2856399
24;08210040;RUA MADRINHA DE DEUS;1111;MOOCA;SAO PAULO;SP;-23,5505199;-46,6333094
