fl_matriz;fl_optante_simples;fl_optante_simei;de_classif_natureza_juridica;de_situacao;pk_cnae;pk_localidade;fl_antt;de_nivel_atividade;dt_abertura;pk_ra;faixa_veiculos;qtd_empresas
1;0;0;PRIVADO;BAIXADA;1;2;0;INATIVA;17/02/1981;-1;Acima 51;1
0;0;0;PRIVADO;BAIXADA;1;3;0;INATIVA;06/04/1988;-1;Acima 51;1
1;0;0;PRIVADO;BAIXADA;1;4;0;INATIVA;19/03/1986;-1;Acima 51;1
1;0;0;PRIVADO;BAIXADA;1;5;0;INATIVA;29/08/1991;-1;Acima 51;1
1;0;0;PRIVADO;BAIXADA;1;6;0;INATIVA;17/01/1990;-1;Acima 51;1
0;0;0;MISTA;BAIXADA;1;7;0;INATIVA;22/01/1968;-1;Acima 51;1
1;0;0;PRIVADO;BAIXADA;1;8;0;INATIVA;02/09/1985;-1;Acima 51;1
1;0;0;PRIVADO;BAIXADA;1;9;0;INATIVA;18/11/1979;-1;Acima 51;1
1;0;0;PRIVADO;BAIXADA;1;10;0;INATIVA;28/07/1989;-1;Acima 51;1
1;0;0;PRIVADO;BAIXADA;1;11;0;INATIVA;16/11/1978;-1;Acima 51;1
1;0;0;PRIVADO;BAIXADA;1;12;0;INATIVA;25/09/1991;-1;Acima 51;1
1;0;0;PRIVADO;BAIXADA;1;13;0;INATIVA;23/06/1989;-1;Acima 51;1
1;0;0;PRIVADO;BAIXADA;1;14;0;INATIVA;14/05/1981;-1;Acima 51;1
1;0;0;PRIVADO;BAIXADA;1;15;0;INATIVA;06/10/1993;-1;Acima 51;1
1;0;0;PRIVADO;BAIXADA;1;16;0;INATIVA;15/11/1982;-1;Acima 51;1
1;0;0;PRIVADO;BAIXADA;1;17;0;INATIVA;03/04/1990;-1;Acima 51;1
1;0;0;PRIVADO;BAIXADA;1;18;0;INATIVA;13/11/1989;-1;Acima 51;1
0;1;0;PRIVADO;BAIXADA;1;19;0;INATIVA;30/06/1987;-1;Acima 51;1
1;0;0;PRIVADO;BAIXADA;1;20;0;INATIVA;24/09/1990;-1;Acima 51;1
1;0;0;PRIVADO;BAIXADA;1;21;0;INATIVA;27/02/1992;-1;Acima 51;1
1;0;0;PRIVADO;BAIXADA;1;22;0;INATIVA;21/12/1992;-1;Acima 51;1
1;0;0;PRIVADO;BAIXADA;1;23;0;INATIVA;27/08/1996;-1;Acima 51;1
