dt_abertura;Year;Month;Day
01/01/1942;1942;jan;1
02/01/1942;1942;jan;2
03/01/1942;1942;jan;3
04/01/1942;1942;jan;4
05/01/1942;1942;jan;5
06/01/1942;1942;jan;6
07/01/1942;1942;jan;7
08/01/1942;1942;jan;8
09/01/1942;1942;jan;9
10/01/1942;1942;jan;10
11/01/1942;1942;jan;11
12/01/1942;1942;jan;12
13/01/1942;1942;jan;13
14/01/1942;1942;jan;14
15/01/1942;1942;jan;15
16/01/1942;1942;jan;16
17/01/1942;1942;jan;17
18/01/1942;1942;jan;18
19/01/1942;1942;jan;19
20/01/1942;1942;jan;20
21/01/1942;1942;jan;21
22/01/1942;1942;jan;22
23/01/1942;1942;jan;23
24/01/1942;1942;jan;24
25/01/1942;1942;jan;25
26/01/1942;1942;jan;26
27/01/1942;1942;jan;27
28/01/1942;1942;jan;28
29/01/1942;1942;jan;29
30/01/1942;1942;jan;30
31/01/1942;1942;jan;31
01/02/1942;1942;fev;1
02/02/1942;1942;fev;2
03/02/1942;1942;fev;3
04/02/1942;1942;fev;4
05/02/1942;1942;fev;5
06/02/1942;1942;fev;6
07/02/1942;1942;fev;7
08/02/1942;1942;fev;8
09/02/1942;1942;fev;9
10/02/1942;1942;fev;10
11/02/1942;1942;fev;11
12/02/1942;1942;fev;12
13/02/1942;1942;fev;13
14/02/1942;1942;fev;14
15/02/1942;1942;fev;15
16/02/1942;1942;fev;16
17/02/1942;1942;fev;17
18/02/1942;1942;fev;18
19/02/1942;1942;fev;19
20/02/1942;1942;fev;20
21/02/1942;1942;fev;21
22/02/1942;1942;fev;22
23/02/1942;1942;fev;23
24/02/1942;1942;fev;24
25/02/1942;1942;fev;25
26/02/1942;1942;fev;26
27/02/1942;1942;fev;27
28/02/1942;1942;fev;28
01/03/1942;1942;mar;1
02/03/1942;1942;mar;2
03/03/1942;1942;mar;3
04/03/1942;1942;mar;4
05/03/1942;1942;mar;5
06/03/1942;1942;mar;6
07/03/1942;1942;mar;7
08/03/1942;1942;mar;8
09/03/1942;1942;mar;9
10/03/1942;1942;mar;10
11/03/1942;1942;mar;11
12/03/1942;1942;mar;12
13/03/1942;1942;mar;13
14/03/1942;1942;mar;14
15/03/1942;1942;mar;15
16/03/1942;1942;mar;16
17/03/1942;1942;mar;17
18/03/1942;1942;mar;18
19/03/1942;1942;mar;19
20/03/1942;1942;mar;20
21/03/1942;1942;mar;21
22/03/1942;1942;mar;22
23/03/1942;1942;mar;23
24/03/1942;1942;mar;24
25/03/1942;1942;mar;25
26/03/1942;1942;mar;26
27/03/1942;1942;mar;27
28/03/1942;1942;mar;28
29/03/1942;1942;mar;29
30/03/1942;1942;mar;30
31/03/1942;1942;mar;31
01/04/1942;1942;abr;1
02/04/1942;1942;abr;2
03/04/1942;1942;abr;3
04/04/1942;1942;abr;4
05/04/1942;1942;abr;5
06/04/1942;1942;abr;6
07/04/1942;1942;abr;7
08/04/1942;1942;abr;8
09/04/1942;1942;abr;9
10/04/1942;1942;abr;10
11/04/1942;1942;abr;11
12/04/1942;1942;abr;12
13/04/1942;1942;abr;13
14/04/1942;1942;abr;14
15/04/1942;1942;abr;15
16/04/1942;1942;abr;16
17/04/1942;1942;abr;17
18/04/1942;1942;abr;18
19/04/1942;1942;abr;19
20/04/1942;1942;abr;20
21/04/1942;1942;abr;21
22/04/1942;1942;abr;22
23/04/1942;1942;abr;23
24/04/1942;1942;abr;24
25/04/1942;1942;abr;25
26/04/1942;1942;abr;26
27/04/1942;1942;abr;27
28/04/1942;1942;abr;28
29/04/1942;1942;abr;29
30/04/1942;1942;abr;30
01/05/1942;1942;mai;1
02/05/1942;1942;mai;2
03/05/1942;1942;mai;3
04/05/1942;1942;mai;4
05/05/1942;1942;mai;5
06/05/1942;1942;mai;6
07/05/1942;1942;mai;7
08/05/1942;1942;mai;8
09/05/1942;1942;mai;9
10/05/1942;1942;mai;10
11/05/1942;1942;mai;11
12/05/1942;1942;mai;12
13/05/1942;1942;mai;13
14/05/1942;1942;mai;14
15/05/1942;1942;mai;15
16/05/1942;1942;mai;16
17/05/1942;1942;mai;17
18/05/1942;1942;mai;18
19/05/1942;1942;mai;19
20/05/1942;1942;mai;20
21/05/1942;1942;mai;21
22/05/1942;1942;mai;22
23/05/1942;1942;mai;23
24/05/1942;1942;mai;24
25/05/1942;1942;mai;25
26/05/1942;1942;mai;26
27/05/1942;1942;mai;27
28/05/1942;1942;mai;28
29/05/1942;1942;mai;29
30/05/1942;1942;mai;30
31/05/1942;1942;mai;31
01/06/1942;1942;jun;1
02/06/1942;1942;jun;2
03/06/1942;1942;jun;3
04/06/1942;1942;jun;4
05/06/1942;1942;jun;5
06/06/1942;1942;jun;6
07/06/1942;1942;jun;7
08/06/1942;1942;jun;8
09/06/1942;1942;jun;9
10/06/1942;1942;jun;10
11/06/1942;1942;jun;11
12/06/1942;1942;jun;12
13/06/1942;1942;jun;13
14/06/1942;1942;jun;14
15/06/1942;1942;jun;15
16/06/1942;1942;jun;16
17/06/1942;1942;jun;17
18/06/1942;1942;jun;18
19/06/1942;1942;jun;19
20/06/1942;1942;jun;20
21/06/1942;1942;jun;21
22/06/1942;1942;jun;22
23/06/1942;1942;jun;23
24/06/1942;1942;jun;24
25/06/1942;1942;jun;25
26/06/1942;1942;jun;26
27/06/1942;1942;jun;27
28/06/1942;1942;jun;28
29/06/1942;1942;jun;29
30/06/1942;1942;jun;30
01/07/1942;1942;jul;1
02/07/1942;1942;jul;2
03/07/1942;1942;jul;3
04/07/1942;1942;jul;4
05/07/1942;1942;jul;5
06/07/1942;1942;jul;6
07/07/1942;1942;jul;7
08/07/1942;1942;jul;8
09/07/1942;1942;jul;9
10/07/1942;1942;jul;10
11/07/1942;1942;jul;11
12/07/1942;1942;jul;12
13/07/1942;1942;jul;13
14/07/1942;1942;jul;14
15/07/1942;1942;jul;15
16/07/1942;1942;jul;16
17/07/1942;1942;jul;17
18/07/1942;1942;jul;18
19/07/1942;1942;jul;19
20/07/1942;1942;jul;20
21/07/1942;1942;jul;21
22/07/1942;1942;jul;22
23/07/1942;1942;jul;23
24/07/1942;1942;jul;24
25/07/1942;1942;jul;25
26/07/1942;1942;jul;26
27/07/1942;1942;jul;27
28/07/1942;1942;jul;28
29/07/1942;1942;jul;29
30/07/1942;1942;jul;30
31/07/1942;1942;jul;31
01/08/1942;1942;ago;1
02/08/1942;1942;ago;2
03/08/1942;1942;ago;3
04/08/1942;1942;ago;4
05/08/1942;1942;ago;5
06/08/1942;1942;ago;6
07/08/1942;1942;ago;7
08/08/1942;1942;ago;8
